CNPJ Entidade	Nome Entidade	N˙mero ConvÍnio	”rg„o Concedente	Motivo Impedimento
00002444000166	SINDICATO REGIONAL DOS TRABALHADORES E TRABALHADORAS RU	629097	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
00002444000166	SINDICATO REGIONAL DOS TRABALHADORES E TRABALHADORAS RU	644382	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00008098000204	COOP AGROP MISTA DOS FRUTIC PAUL E GOIANOS ILTDA-FRUPEG	133483	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
00034304000170	ASSOCIACAO PROMOCIONAL IRMA MARIA DOLORES	523074	MINISTERIO DO TRABALHO	IRREGULARIDADES NA EXECU«√O
00034304000170	ASSOCIACAO PROMOCIONAL IRMA MARIA DOLORES	523148	MINISTERIO DO TRABALHO	IRREGULARIDADES NA EXECU«√O
00062712000135	APAE ASSOC.DE PAIS E AMIGOS DOS EXCEPCIONAIS C.VERDE	526939	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00077568000100	INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA	400364	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00077568000100	INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA	470940	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00084400000122	OBRAS DE ASSISTENCIA SOCIAL SAO RAFAEL	077797	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
00089788000154	FUND DE AP A PESQ AG DES E TREIN DE MAO DE OBRA DE PTU	114361	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00092199000125	FUNDACAO ENSINO TECNICO E PESQUISA INFORMATICA UBERABA	734484	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00093821000110	INSTITUTO BRASILEIRO DA FLORICULTURA IBRAFLOR	113965	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA EXECU«√O
00117144000122	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS S A GRAMA	466007	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
00118073000182	COOPAMASC COOP AGROP E MISTA DO SERTAO CENTRAL LTDA	116539	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00118073000182	COOPAMASC COOP AGROP E MISTA DO SERTAO CENTRAL LTDA	126614	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00148580000169	CETAP CENTRO TECNICO DE ASSESSORIA E PLANEJ COMUNITARIO	734355	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00162034000182	ASSOCIACAO PAIS E AMIGOS EXCEPCIONAIS APAE ANAURILANDIA	565043	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECU«√O
00163867000168	CCA-SP COOPERATIVA CENTRAL REFORMA AGRARIA EST S PAULO	480641	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00163867000168	CCA-SP COOPERATIVA CENTRAL REFORMA AGRARIA EST S PAULO	510196	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00178371000168	COLONIA DE PESCADORES Z 25	615275	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00178371000168	COLONIA DE PESCADORES Z 25	732259	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	435756	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	443070	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	520234	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	520235	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00189271000137	CASA DA PAZ	321331	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00197010000169	ASSOCIACAO DOS PEQ PRODUT RURAIS DAS COMUNIDADES ANHUMA	540700	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
00204293000129	FUNDACAO ISRAEL PINHEIRO	650416	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURA«√O DE TCE
00214423000104	ASSOCIACAO DA CONGADA DE CATALAO	577592	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00249183000183	ASSOCIACAO COMUNITARIA DA QE 19 DO GUARA II	577197	MINISTERIO DO ESPORTE	INSTAURA«√O DE TCE
00266319000163	ASSOCIACAO DOS MORADORES DO POVOADO ARERENGAUA	748028	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00273811000166	SOCIEDADE PESTALOZZI DO MUNICIPIO DE JERONIMO MONTEIRO	482857	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
00276143000120	FUN DE AMP A PESQ DE REC VIVOS NA ZONA ECONOM EXCLUSIVA	577867	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00278887000184	ASSOCIACAO LEGIONARIAS DOB ESTAR SOC BREJINHO DE NAZARE	040326	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	IRREGULARIDADES NA EXECU«√O
00278912000120	FUNDACAO DE APOIO A EDUCACAO E DESENV TECNOLOGICO DE MG	326803	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
00278912000120	FUNDACAO DE APOIO A EDUCACAO E DESENV TECNOLOGICO DE MG	651973	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
00287519000100	ASSOCIACAO BRASILEIRA DAS OPERADORAS DE TURISMO BRAZTOA	747212	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00290323000167	COOPERATIVA DOS PEQUENOS P AGROEXT DE VIANA LTDA	542733	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00312051000159	ASSOCIACO PARAENSE DE APOIO AS COMUNIDADES CARENTES	750557	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
00315554000188	ECAIG ESCOLA DE CAPOEIRA ANGOLA IRMAOS GEMEOS	533971	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00315795000127	C.B.M.T - CONFEDERACAO BRASILEIRA DE MUAY THAI (BOXE TA	700522	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
00316292000176	CONFEDERACAO BRASILEIRA DE BADMINTON	751780	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
00316711000170	SINDICATO DAS INDUSTRIAS DO VESTUARIO DO D.F	523608	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00319895000121	ASSOCIACAO DE PEQUENOS PRODUT DA FAZ SACO DO RIO PRETO	502297	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA EXECU«√O
00328406000106	COOP TRAB AUTONOMOS DO COMPLEXO DE MANGUINHOS LTDA	434801	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	466125	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	468544	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	468551	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	480647	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	489004	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	502268	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	513510	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	515323	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	534358	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	574426	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
